business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,categories,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,615 S Main St,Ashland City,TN,37015,36.26959,-87.05894,2,6,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE,u'no',None,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,u'none',TRUE,u'casual',None,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",0:0-0:0,6:0-22:0,6:0-22:0,6:0-22:0,9:0-0:0,9:0-22:0,8:0-22:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,2312 Dickerson Pike,Nashville,TN,37207,36.2081,-86.76817,1.5,10,1,FALSE,TRUE,NA,1,FALSE,TRUE,TRUE,FALSE,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,u'none',TRUE,'casual',NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",0:0-0:0,6:0-21:0,6:0-21:0,6:0-16:0,6:0-16:0,6:0-17:0,6:0-21:0,,,,,,,,,,,,,,,,,,,,,,,,,
txyXRytGjwOXvS8s4sc-WA,Smoothie King,1070 E Tucson Marketplace Blvd,Tucson,AZ,85713,32.18679,-110.95476,3,29,1,NA,TRUE,TRUE,2,NA,TRUE,TRUE,NA,u'free',{u'valet': False, u'garage': False, u'street': None, u'lot': True, u'validated': False},FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies, Shopping",0:0-0:0,7:0-21:0,7:0-19:0,7:0-19:0,7:0-19:0,9:0-20:0,11:0-18:0,,,,,,,,,,,,,,,,,,,,,,,,,
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,129 2nd Ave N,Nashville,TN,37201,36.16265,-86.77597,4.5,593,1,FALSE,TRUE,FALSE,2,NA,TRUE,None,FALSE,'free',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,None,FALSE,FALSE,FALSE,u'none',TRUE,'casual',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},NA,TRUE,FALSE,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-0:0,8:0-0:30,8:0-23:0,,,,,,,,,,,,,,,,,
k0yyD71s2F2eEKWRdkZ6jA,Cold Stone Creamery,"55 S Raceway Rd, Ste 400",Indianapolis,IN,46231,39.76287,-86.32571,3,19,1,NA,TRUE,FALSE,2,NA,TRUE,TRUE,FALSE,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Custom Cakes, Food, Desserts, Cupcakes, Ice Cream & Frozen Yogurt",12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,,,,,,,,,,,,,,,,,,,,,,,,,
1GnJDrpp-jyDRCptavD9RQ,Rita's Italian Ice,5004 Pennell Rd,Aston,PA,19014,39.86492,-75.42758,4,7,1,NA,TRUE,TRUE,1,NA,TRUE,NA,TRUE,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, Ice Cream & Frozen Yogurt, Desserts, Shaved Ice",12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,,,,,,,,,,,,,,,,,,,,,,,,,
QZLOM3T6xl7y1Q6zqoqHWg,Freddy's Frozen Custard & Steakburgers,5051 Edgmont Ave,Brookhaven,PA,19015,39.87918,-75.39677,3.5,26,1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, American (Traditional), Fast Food, Ice Cream & Frozen Yogurt, Burgers, Restaurants",0:0-0:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,10:30-23:0,10:30-22:0,,,,,,,,,,,,,,,,,,,,,,,,,
Jft1PUUQGH4DoC2S1zsABg,Poppy's Ice Cream,"1515 E Judge Perez Dr, Ste 5",Chalmette,LA,70043,29.93813,-89.94922,4.5,6,1,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Food",12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,,,,,,,,,,,,,,,,,,,,,,,,,
V8uKFuHyHKSOWojuhcP-2A,Rita's Italian Ice,390 York Rd,Warminster,PA,18974,40.20092,-75.1014,4,8,1,NA,TRUE,TRUE,1,NA,TRUE,NA,NA,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Desserts, Food, Ice Cream & Frozen Yogurt, Shaved Ice",12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,,,,,,,,,,,,,,,,,,,,,,,,,
L9CKPOoI51LNnRW8B1M8CQ,Dot's Dairy Bar,3802 Bristol Oxford Valley Rd,Levittown,PA,19057,40.1361,-74.87325,4,9,0,NA,FALSE,TRUE,1,NA,TRUE,FALSE,FALSE,'no',{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,TRUE,TRUE,NA,TRUE,u'none',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Food, Food Stands, Restaurants, Hot Dogs",0:0-0:0,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
