review,stars,useful,funny,cool,cone,yogurt,shake,shakes,sorbet,gelato,sundae,waffle,sherbet,smoothie,slush
5,4,5,2,4,2,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0
14,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0
16,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23,5,3,1,0,0,0,0,0,0,0,2,0,0,0,0
24,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
25,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0
31,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,5,1,1,2,0,0,0,0,0,2,0,0,0,0,0
36,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,5,4,1,3,0,1,0,0,0,0,0,0,0,0,0
50,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
55,5,2,4,1,0,0,0,0,0,0,0,1,0,0,0
61,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0
64,5,3,0,2,0,0,0,0,0,1,0,0,0,0,0
65,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
68,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0
72,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0
85,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0
90,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
95,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
97,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0
106,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0
113,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0
117,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
120,3,4,11,6,2,0,0,0,0,0,0,0,0,0,0
127,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
133,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0
136,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0
138,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0
142,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0
150,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
171,4,4,0,1,0,0,0,0,0,2,0,0,0,0,0
180,5,1,0,1,0,0,1,2,0,0,0,0,0,0,0
187,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0
191,4,2,1,1,0,3,0,0,0,0,0,0,0,0,0
193,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,4,2,1,1,0,0,0,0,0,0,0,0,0,1,0
203,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0
206,5,1,0,0,0,0,0,0,1,2,0,0,0,0,0
207,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0
208,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
218,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
219,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0
224,5,3,1,2,2,0,0,0,0,2,0,0,0,0,0
228,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0
229,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
230,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0
231,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0
242,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
243,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0
244,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
245,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
246,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
